src,trg,w
25,643,1
25,644,1
25,645,2
25,647,1
25,648,1
25,650,2
25,655,2
25,674,1
25,680,3
25,683,1
25,690,3
25,694,1
25,700,2
25,718,1
25,719,2
25,721,1
25,722,1
25,725,3
25,728,1
25,733,1
25,737,1
25,745,2
25,751,1
25,754,1
25,761,1
25,762,1
25,769,1
25,771,1
25,772,1
25,775,1
25,780,2
25,783,1
25,799,1
25,804,2
25,809,2
25,810,2
25,811,2
25,812,1
25,813,1
25,814,3
25,824,1
25,877,1
25,882,1
25,890,1
25,963,2
25,995,1
25,1002,1
25,1017,1
25,1048,1
25,1060,1
25,1140,1
25,1146,1
25,1186,1
25,1187,1
25,1225,1
25,1288,1
25,1323,1
25,1332,1
25,1352,1
25,1367,3
25,1378,1
25,1396,1
25,1407,4
25,1411,1
25,1446,1
25,1478,1
25,1502,1
25,1537,1
25,1549,1
25,1588,3
25,1614,1
25,1628,1
25,1630,2
25,1648,1
25,1668,1
25,1670,1
25,1677,1
25,1683,2
25,1712,1
25,1715,9
25,1725,2
25,1730,2
25,1734,1
25,1736,3
25,1744,2
25,1758,2
25,1760,1
25,1785,1
25,1788,8
25,1796,1
25,1797,1
25,1799,2
25,1800,1
25,1802,1
25,1804,1
25,1808,1
25,1809,1
25,1813,1
25,1817,1
25,1819,1
25,1820,1
25,1821,1
25,1829,2
25,1836,1
25,1847,1
25,1856,1
25,1862,1
25,1863,1
25,1869,2
25,1883,1
25,1885,1
25,1886,4
25,1897,1
25,1899,1
25,1902,1
25,1904,1
25,1909,2
25,1910,2
25,1915,1
25,1921,1
25,1924,3
25,1938,1
25,1940,2
25,1954,2
25,1958,3
25,1960,8
25,1967,6
25,1968,3
25,1969,4
25,1975,1
25,1978,1
25,2007,2
25,2013,2
25,2019,2
25,2028,1
25,2033,3
25,2036,1
25,2040,1
25,2051,4
25,2056,3
25,2077,1
25,2082,4
25,2091,2
25,2096,1
25,2102,1
25,2113,1
25,2126,4
25,2128,3
25,2147,1
25,2156,2
25,2181,1
25,2186,1
25,2191,1
25,2203,1
25,2219,2
25,2221,1
25,2227,2
25,2233,1
25,2234,1
25,2237,1
25,2244,1
25,2259,1
25,2261,1
25,2273,2
25,2276,3
25,2280,1
25,2284,1
25,2298,2
25,2304,5
25,2308,1
25,2313,2
25,2319,1
25,2327,1
25,2333,1
25,2345,2
25,2357,1
25,2363,1
25,2371,1
25,2379,1
25,2391,1
25,2395,1
25,2402,3
25,2413,1
25,2414,1
25,2422,1
25,2447,1
25,2451,1
25,2453,5
25,2462,4
25,2470,1
25,2479,1
25,2489,1
25,2490,1
25,2491,3
25,2495,1
25,2499,1
25,2501,1
25,2502,2
25,2514,3
25,2528,1
25,2531,1
25,2532,1
25,2539,2
25,2540,1
25,2550,1
25,2559,1
25,2565,2
25,2582,1
25,2588,1
25,2605,1
25,2608,1
25,2614,2
25,2615,1
25,2624,2
25,2625,1
25,2635,1
25,2650,2
25,2657,1
25,2664,1
25,2665,1
25,2708,3
25,2738,3
25,2753,2
25,2754,2
25,2762,2
25,2796,1
25,2800,1
25,2811,1
25,2885,1
25,2901,2
25,2912,1
25,2919,1
25,2927,1
25,2934,1
25,2936,1
25,2940,1
25,2943,1
25,2951,1
