srg,trg,w
31,6330,1
31,6583,1
31,6620,1
31,6681,1
31,7310,1
31,7519,1
31,9001,1
31,10027,1
31,10081,1
31,10157,1
31,10409,1
31,10491,1
31,10509,1
31,10551,1
31,10597,1
31,10788,1
31,10850,1
31,11165,1
31,11272,1
31,13706,1
31,13883,1
31,14108,1
31,14415,1
31,14448,1
31,14693,1
31,14728,1
33,970,1
33,1574,1
33,1677,1
33,2653,1
33,3653,1
33,4106,1
33,4962,1
33,10426,1
33,13313,1
33,13565,1
33,13682,1
33,13857,1
34,620,1
34,783,1
34,1282,1
34,1771,1
34,3011,1
34,7966,1
34,8220,1
34,8479,1
34,8579,1
34,8589,1
34,8685,1
34,8837,1
34,10597,1
34,10786,1
34,10850,1
34,10855,1
34,11278,1
35,2126,1
36,8531,1
36,10557,1
37,293,1
37,326,1
37,368,1
37,586,1
37,683,1
37,692,1
37,778,1
37,988,1
37,1000,1
37,1529,1
37,1832,1
37,1887,1
37,1945,1
37,1970,1
37,1971,1
37,2285,1
37,2401,1
37,2431,1
37,2470,1
37,2568,1
37,2774,1
37,3239,1
37,3356,1
37,3529,1
37,3616,1
37,4258,1
37,4609,1
37,5811,1
37,6003,1
37,6273,1
37,6399,1
37,7299,1
37,8961,1
37,8967,1
37,9025,1
37,9031,1
37,10647,1
37,13013,1
37,13676,1
37,13891,1
37,14004,1
37,14858,1
37,15664,1
37,15859,1
38,160,1
38,883,1
38,7232,1
38,10137,1
38,10535,1
38,10779,1
38,10807,1
38,12913,1
38,13021,1
38,13104,1
38,13702,1
38,14581,1
39,2545,1
39,9126,1
40,312,1
40,854,3
40,886,1
40,1179,1
40,1275,1
40,1606,1
40,2568,1
40,3714,1
40,3930,1
40,4008,1
40,4051,1
40,4064,1
40,4855,1
40,4856,1
40,4881,1
40,4935,1
40,4948,1
40,5246,1
40,5349,1
40,5350,1
40,5384,1
40,5556,1
40,5680,1
40,6702,1
40,6726,1
40,9008,1
40,9195,1
40,10390,1
40,10437,1
40,10460,1
40,10476,1
40,10501,1
40,10523,1
40,10550,1
40,10574,1
40,10596,1
40,10670,1
40,10690,1
40,10718,1
40,10800,1
40,10864,1
40,10909,1
40,11576,1
40,11954,1
40,12538,1
40,12923,1
40,13022,1
40,13032,1
40,13050,1
40,13069,1
40,13076,1
40,13082,1
40,13086,1
40,13092,1
40,13099,1
40,13110,1
40,13160,1
40,13170,1
40,13195,1
40,13233,1
40,13236,1
40,13261,1
40,13284,1
40,13300,1
40,13341,2
40,13358,1
40,13367,1
40,13644,1
40,13654,1
40,13668,1
40,13679,1
40,13689,1
40,13718,1
40,13720,1
40,13723,1
40,13746,2
40,13754,1
40,13770,1
40,13772,1
40,13776,1
40,13806,1
40,13824,1
40,13838,1
40,13841,1
40,13843,1
40,13844,1
40,13849,1
40,13873,1
40,14369,1
41,841,1
41,1097,1
41,2221,1
41,3106,1
41,7992,1
41,10458,1
41,10576,1
41,11175,1
41,11560,1
41,12911,1
41,12980,3
41,13011,1
41,13021,2
41,13252,1
41,13289,1
41,13306,1
41,13658,1
41,13677,1
41,13685,1
41,13695,1
41,13734,1
41,13762,1
41,13769,1
41,13770,1
41,13832,1
41,13836,1
41,13840,1
41,14650,1
42,2145,1
44,234,1
44,296,1
44,446,1
44,463,1
44,671,1
44,766,1
44,1498,1
44,1688,1
44,1766,1
44,1799,1
44,1801,1
44,1868,2
44,1896,1
44,1976,1
44,1981,1
44,1987,1
44,1992,1
44,2003,1
44,2005,1
44,2082,1
44,2096,1
44,2104,1
44,2137,1
44,2162,1
44,2207,1
44,2236,1
44,2265,1
44,2377,1
44,2468,1
44,2530,1
44,2537,1
44,2568,1
44,2584,1
44,2604,1
44,2624,1
44,2634,1
44,2643,1
44,2655,1
44,2667,1
44,3210,1
44,3217,1
44,3250,1
44,3256,1
44,3341,1
44,3351,1
44,3387,1
44,4263,1
44,6267,1
44,6447,1
44,6547,1
44,7184,1
44,10439,1
44,10572,1
44,10834,1
44,10844,1
44,13746,1
46,13732,1
46,15646,1
47,1741,1
47,1834,1
47,2199,1
47,2206,1
47,2349,1
47,2598,1
47,3966,1
47,4040,1
49,247,1
49,329,1
49,722,1
49,738,1
49,792,1
49,806,1
49,815,1
49,1740,1
49,1791,1
49,1847,1
49,1868,1
49,1896,1
49,1930,1
49,2011,1
49,2111,1
49,2126,1
49,2243,1
49,2310,1
49,2353,1
49,2402,1
49,2412,1
49,2419,1
49,2421,1
49,2603,1
49,2610,1
49,2656,1
49,2657,1
49,2663,2
49,3100,1
49,3202,1
49,3593,1
49,3689,1
49,3912,1
49,4060,1
49,4146,1
49,4155,1
49,5379,1
49,5430,1
49,5507,1
49,6974,1
49,7230,1
49,7519,1
49,7839,1
49,8484,1
49,8652,1
49,9160,1
49,10116,1
49,10500,1
49,10509,1
49,10637,1
49,10807,1
49,11357,1
49,11913,1
49,12019,1
49,12180,1
49,12394,1
49,12621,1
49,12783,1
49,12839,1
49,12878,1
49,13011,1
49,13180,1
49,13466,1
49,13878,1
49,14277,1
50,618,1
50,634,1
50,879,1
50,1532,1
50,1845,1
50,1937,1
50,2092,1
50,2140,1
50,2145,1
50,2158,1
50,2184,1
50,2218,1
50,2273,1
50,2779,1
50,3216,1
50,3623,1
50,3643,1
50,3849,1
50,3964,1
50,5392,1
50,6238,1
50,6409,1
50,8003,1
50,8040,1
50,8604,1
50,8621,1
50,8837,1
50,10419,1
50,10461,1
50,10758,1
50,12511,1
50,12647,1
50,13679,1
51,1450,1
51,1957,1
51,2652,1
51,3421,1
51,7496,1
51,11165,1
52,12930,1
52,13164,1
52,13258,1
52,13689,1
55,1847,1
55,2052,1
55,2099,1
55,2119,1
55,2142,1
55,2624,1
55,3286,1
55,6330,1
55,10334,1
55,10605,1
55,12104,1
58,4107,1
58,4153,1
58,5556,1
58,8493,1
58,9150,1
58,10561,1
58,10567,1
58,13056,1
58,13676,1
58,13679,1
58,13727,1
60,6273,1
60,6399,1
60,13056,1
60,13753,1
63,1041,1
66,739,1
66,918,1
66,1728,1
66,2005,1
66,2009,1
66,2165,1
66,2254,1
66,2580,1
66,2584,1
66,3897,1
66,5422,1
66,5439,1
66,6617,1
67,312,1
67,377,1
67,550,1
67,610,1
67,1004,1
67,1459,1
67,1925,1
67,2015,1
67,2279,1
67,2346,1
67,2961,1
67,3202,1
67,4087,1
67,6028,1
67,7230,1
67,8606,1
67,9165,1
67,10661,1
67,12985,1
67,13760,1
67,13973,1
68,8040,1
68,13679,1
72,709,1
72,934,1
72,1151,1
72,1237,1
72,4128,1
72,6215,1
72,10604,1
72,12911,1
72,12945,1
72,13006,1
72,13104,1
72,13123,1
72,13234,1
72,13295,1
72,13374,1
72,13385,1
72,13715,1
72,13844,1
75,1834,1
75,2277,1
75,3628,1
75,3715,1
75,4045,1
75,4152,1
75,7619,1
75,8703,1
75,9396,1
75,12777,1
75,13105,1
75,13188,1
75,13295,1
75,13374,1
75,13843,1
75,13943,1
77,109,1
77,295,1
77,344,1
77,489,1
77,636,1
77,832,1
77,1059,1
77,1167,1
77,1278,1
77,1343,2
77,1372,1
77,1677,1
77,1745,1
77,1924,1
77,2134,1
77,2250,1
77,2417,1
77,2438,1
77,2494,1
77,2510,1
77,2619,1
77,2663,1
77,2670,1
77,3622,1
77,3684,1
77,3703,1
77,3741,1
77,3912,1
77,4073,1
77,4080,1
77,4141,1
77,4148,1
77,4809,1
77,5404,1
77,5412,1
77,5440,1
77,5623,1
77,5638,1
77,5649,1
77,5694,1
77,8951,1
77,9027,1
77,9158,1
77,9963,1
77,10001,1
77,10541,1
77,10544,1
77,10784,1
77,12468,1
77,12484,1
77,12768,1
77,12896,1
77,12898,1
77,12930,2
77,12957,1
77,12982,1
77,12988,1
77,13005,1
77,13037,1
77,13042,1
77,13049,1
77,13070,1
77,13080,1
77,13082,2
77,13099,1
77,13142,1
77,13195,1
77,13308,1
77,13316,1
77,13645,1
77,13654,1
77,13677,1
77,13691,2
77,13732,1
77,13737,1
77,13758,1
77,13774,1
77,13780,2
77,13865,1
