src trg nij
4345 4417 292
4361 4417 157
3769 4426 52
4169 4426 176
4206 4426 171
4212 4426 239
4221 4426 316
4238 4426 225
4256 4426 271
4299 4426 163
4334 4426 312
4335 4426 208
4353 4426 282
4365 4426 87
4391 4426 165
4408 4426 90
2029 4429 169
3769 4429 196
3828 4429 224
3832 4429 169
4248 4429 123
4298 4429 117
4300 4429 163
4333 4429 107
4341 4429 165
4359 4429 317
4361 4429 268
4418 4429 210
4420 4429 105
1143 4487 285
1692 4487 147
2787 4487 322
2856 4487 153
2913 4487 250
2920 4487 185
3420 4487 500
3583 4487 434
3839 4487 142
3856 4487 476
4222 4487 232
4242 4487 125
4284 4487 153
4313 4487 408
4385 4487 200
4390 4487 175
4391 4487 142
3769 4588 178
3772 4588 172
4209 4588 160
4221 4588 107
4241 4588 117
4248 4588 116
4285 4588 136
4393 4588 114
4405 4588 96
4440 4588 147
4470 4588 133
4522 4588 166
4524 4588 107
4554 4588 166
4580 4588 120
3774 4614 29
3864 4614 482
4326 4614 102
4382 4614 278
4417 4614 385
4577 4614 179
4605 4614 258
3761 4618 200
3781 4618 204
3856 4618 196
4178 4618 259
4232 4618 303
4306 4618 149
4390 4618 232
4432 4618 192
4440 4618 175
4442 4618 158
4458 4618 99
4487 4618 175
4504 4618 133
4512 4618 192
4560 4618 169
4564 4618 185
4604 4618 135
4617 4618 151
3769 4646 42
4238 4646 148
4341 4646 131
4365 4646 72
4416 4646 99
4420 4646 143
4515 4646 78
4552 4646 41
4558 4646 41
4620 4646 40
4634 4646 40
3791 4655 217
3799 4655 222
3882 4655 196
4166 4655 120
4172 4655 170
4179 4655 114
4216 4655 135
4219 4655 123
4260 4655 483
4265 4655 312
4279 4655 142
4281 4655 166
4357 4655 129
4364 4655 131
4377 4655 202
4470 4655 161
4505 4655 169
4519 4655 204
4567 4655 333
4575 4655 168
4585 4655 161
4586 4655 129
4593 4655 102
4607 4655 119
4616 4655 166
4625 4655 175
4631 4655 298
1586 4668 138
3399 4668 147
3465 4668 161
3591 4668 144
3763 4668 166
3769 4668 166
3800 4668 166
4222 4668 229
4223 4668 107
4405 4668 186
4462 4668 281
4469 4668 131
4481 4668 156
4484 4668 149
4496 4668 156
4497 4668 147
4523 4668 153
4530 4668 158
4542 4668 123
4559 4668 142
4601 4668 224
4609 4668 140
4611 4668 158
4622 4668 169
4650 4668 259
795 4692 120
3778 4692 149
3813 4692 151
3845 4692 108
3915 4692 64
4203 4692 125
4248 4692 117
4295 4692 273
4351 4692 134
4398 4692 98
4448 4692 111
4476 4692 147
4598 4692 108
4604 4692 119
4610 4692 96
4618 4692 103
4643 4692 126
4647 4692 114
1279 4847 151
1326 4847 120
3161 4847 58
3891 4847 65
3929 4847 64
3980 4847 100
4715 4847 204
4744 4847 178
4761 4847 175
4828 4847 181
898 4916 37
4019 4922 165
4124 4922 104
4804 4922 189
4832 4922 34
4845 4922 66
4852 4922 66
4146 5089 72
4770 5089 44
4865 5089 41
4000 5092 465
4711 5092 230
3629 5190 313
4800 5190 24
4970 5190 24
4980 5190 24
5092 5190 817
1484 5219 56
4881 5219 99
4975 5219 56
4991 5219 53
5086 5219 55
5092 5219 567
5150 5219 57
5190 5219 398
5215 5219 111
3751 5241 189
3948 5241 331
1328 5259 23
5067 5259 23
5146 5259 23
5241 5259 173
5133 5321 32
4920 5339 33
5068 5339 34
107 5347 78
1573 5347 85
1823 5347 60
2104 5347 66
2737 5347 96
2765 5347 95
2937 5347 87
3036 5347 90
5008 5347 100
5278 5347 81
4742 5401 5
3720 5412 345
4007 5412 275
5225 5412 9
29 5424 26
3903 5424 122
213 5455 7
871 5457 69
1092 5457 156
1170 5457 100
3959 5457 78
4006 5457 76
4062 5457 74
4145 5457 75
4201 5457 84
5301 5457 133
5377 5457 43
5452 5457 85
878 5458 47
3780 5458 48
4059 5458 255
4139 5458 162
4151 5458 224
4741 5458 46
4840 5458 46
4901 5458 47
5217 5458 48
5274 5458 152
4774 5465 55
4945 5465 56
5134 5465 59
5148 5465 57
5225 5490 25
5477 5490 123
5113 5498 29
5379 5498 351
5473 5498 267
3749 5500 261
4083 5500 485
5316 5500 218
4911 5669 29
5186 5669 31
5574 5669 88
3075 5738 135
4724 5738 153
4758 5738 156
4777 5738 128
4785 5738 161
4795 5738 156
4845 5738 131
4858 5738 156
4871 5738 87
