id name province latitude longitude
4465 4465 MS 10.155044 44.08757
3765 3765 MS 10.02192 44.04395
3775 3775 MS 10.099078 44.009247
11178 11178 PI 10.66048 43.7786225925926
15572 15572 LU 10.28787 44.11378
4675 4675 MS 10.097904 44.079903
4236 4236 MS 10.168792 44.014362
4298 4298 MS 9.940181 44.22928
7193 7193 MS 10.113986 43.9982
7203 7203 MS 10.155547 44.086254
697 697 PT 10.906181 43.821953
4378 4378 MS 10.031685 44.038387
4387 4387 MS 10.045142 44.03766
4271 4271 MS 10.034665 44.03789
7187 7187 MS 10.057358 44.032017
10413 10413 LI 10.318583 43.549763
2364 2364 FI 11.252336 43.774685
188 188 FI 11.282093 43.781944
2487 2487 FI 11.220649 43.772278
3620 3620 LI 10.608956 43.023445
10732 10732 LI 10.541657 43.17725
7205 7205 MS 10.141383 44.05576
4642 4642 MS 10.07004 44.02901
616 616 PT 10.956948 43.890854
14458 14458 LU 10.244722 43.871
14486 14486 LU 10.50931 43.845108
14140 14140 LU 10.200478 43.92743
13938 13938 LU 10.200953 43.92693
7136 7136 MS 10.058042 44.050728
14166 14166 LU 10.30391 43.938168
10686 10686 LI 10.308272 43.55418
4382 4382 MS 10.090288 44.057926
4325 4325 MS 10.119193 44.039146
7220 7220 MS 10.097548 44.079006
3785 3785 MS 10.10513 44.00392
4603 4603 MS 10.10088 44.042088
14771 14771 LU 10.323534 43.956173
4649 4649 MS 10.177415 44.01853
7150 7150 MS 10.098472 44.047466
10428 10428 LI 10.378644 42.744896
11630 11630 LI 10.30686063356342 42.78581041360771
3 3 PO 11.322420666666666 43.89385933333333
6530 6530 FI 11.321173 43.896214
1450 1450 FI 11.281196 44.077423
2429 2429 FI 11.325409 43.962215
2299 2299 FI 11.31055 43.54746
8556 8556 PI 10.402676 43.71658
4076 4076 SI 11.027233 43.409515
5786 5786 FI 11.264234 43.7847
6414 6414 FI 11.252651096241229 43.77488717494221
2797 2797 PT 10.906525 44.055527
2197 2197 FI 11.252508 43.767532
4437 4437 MS 10.09789 44.07936
4609 4609 MS 10.0665 44.05436
4386 4386 MS 10.022643 44.043625
4474 4474 MS 10.00177 44.11271
1992 1992 FI 11.238654 43.787235
12672 12672 AR 11.869467 43.574158
382 382 PT 10.918664 43.83531
14799 14799 LU 10.674028 43.814724
8178 8178 PI 10.849977 43.67948951664688
3596 3596 PT 10.92025 43.926823
7244 7244 MS 9.929964 44.33145
330 330 FI 11.187838 43.75639
3342 3342 PT 10.90033 43.92968
2827 2827 PT 10.89583 43.95798
3610 3610 PT 10.889233 43.97005
3104 3104 PT 10.91612 43.93093
3241 3241 PT 10.892639 43.98892
3242 3242 PT 10.915023473432411 43.939035424242455
3511 3511 PT 10.71958 43.839
688 688 PT 10.877319 43.82551
3244 3244 PT 10.790975 44.055214
2849 2849 PT 11.00359 43.90342
506 506 PT 10.918986 43.835182
3247 3247 PT 10.704713428571427 43.87895871428571
3116 3116 PT 11.01689 43.93724
421 421 PT 10.6906 43.928417
1762 1762 FI 11.26 43.775898
9399 9399 PO 11.073542 43.878323
2843 2843 PT 10.6921 43.89995
9395 9395 PO 11.066367 44.018806
2786 2786 PT 10.87704 43.91739
2915 2915 PT 10.920042 43.943363
556 556 PT 11.053333 43.964523
3345 3345 PT 10.93244 43.9337
3346 3346 PT 10.91876 43.86931
2770 2770 PT 10.85414 43.99265
3258 3258 PT 10.81595 43.97289
3093 3093 PT 10.81455 43.86521
9020 9020 PO 11.09402 43.87543
6246 6246 FI 11.263132 43.764458
2775 2775 PT 10.91391 43.93667
2758 2758 PT 11.017576 43.86297
2720 2720 PT 10.94793 43.86024
3259 3259 PT 10.9236 43.93337
2890 2890 PT 10.92818 43.932243
378 378 PT 10.922669 43.94382
2710 2710 PT 10.91147 43.93694
5842 5842 FI 11.15179 43.85725
14357 14357 LU 10.504 43.84285
3211 3211 PT 10.97808 43.84827
3283 3283 PT 10.915023473432411 43.939035424242455
4616 4616 MS 10.021839 44.136387
3842 3842 MS 10.19813 44.28333
3513 3513 PT 10.9986 43.86028
3207 3207 PT 10.91683 43.93375
3151 3151 PT 10.760657 43.99884
3209 3209 PT 10.97563 43.87822
3282 3282 PT 10.8972 44.00414
3607 3607 PT 10.92431 43.9383
3285 3285 PT 10.90558 43.9488
7930 7930 FI 11.23381 43.81047
2962 2962 PT 10.89456 43.96191
9037 9037 PO 11.01854 43.81367
2922 2922 PT 10.90216 43.93171
3213 3213 PT 10.90042 43.93901
10529 10529 LI 10.31127 43.55031
14068 14068 LU 10.242198 43.868828
2603 2603 FI 11.26133 43.764156
10089 10089 LI 10.595186 43.269554
10802 10802 LI 10.31671 43.55675
10521 10521 LI 10.531528 43.24602
432 432 PT 10.917187 43.932503
9949 9949 LI 10.678415 43.07773
2265 2265 FI 11.263188 43.769913
4340 4340 MS 10.119932 44.039726
5708 5708 SI 11.226421 43.45459
4 4 GR 10.775602 42.84141
12968 12968 GR 10.75275 42.806576
12970 12970 GR 10.766602 42.80514
294 294 FI 11.216851 43.908463
2122 2122 FI 11.19464 43.7682
7654 7654 FI 11.262367 43.771397
8976 8976 PO 11.138564 43.860603
5823 5823 FI 11.24095 43.80391
9035 9035 PO 11.094486 43.888847
1538 1538 FI 11.24039 43.79658
7031 7031 FI 11.23607 43.8034
6417 6417 FI 11.237026 43.800255
7881 7881 FI 11.24249 43.79779
6130 6130 FI 11.240258 43.796665
5 5 FI 11.240556 43.79554
6788 6788 FI 11.241108 43.796024
9165 9165 PO 11.039921 43.813847
6415 6415 FI 11.24043 43.79659
8912 8912 PI 10.677542 43.623727
880 880 FI 11.196611 43.755863
1971 1971 FI 11.252942 43.77636
5490 5490 SI 11.326622 43.326023
3706 3706 SI 11.04098 43.469437
4140 4140 SI 11.044434 43.467037
1471 1471 FI 11.25987 43.76824
7316 7316 FI 11.254255 43.76959
1361 1361 FI 11.196215 43.83302
1036 1036 FI 11.230207 43.79532
14225 14225 LU 10.60425 43.90597
10718 10718 LI 10.233995 42.74618
10749 10749 LI 10.37858 42.744987
10993 10993 LI 10.236 42.74275
1941 1941 FI 11.25522 43.77892
6873 6873 FI 11.178072 43.806458
623 623 FI 11.253332 43.7782
1721 1721 FI 11.191506 43.794044
766 766 FI 11.250648 43.76716
2366 2366 FI 11.256178 43.770943
296 296 FI 11.247681 43.795887
6183 6183 FI 11.19183 43.80071
2291 2291 FI 11.245717 43.774105
6797 6797 FI 11.23116 43.784164
2244 2244 FI 11.27058 43.78702
1625 1625 FI 11.265092 43.8415
6226 6226 FI 11.289465 43.83663
674 674 FI 11.261785 43.763504
5908 5908 FI 11.301411 43.762684
559 559 FI 11.388286 43.954018
12879 12879 AR 11.823919 43.52059
6835 6835 FI 11.020967 43.73354
6179 6179 FI 11.020617 43.72969
861 861 FI 10.947794 43.720596
7345 7345 FI 11.01697 43.72947
2774 2774 FI 11.147892 43.790997
2574 2574 FI 10.989851 43.706444
365 365 FI 10.950531 43.71967
6775 6775 FI 11.279596 43.780537
1137 1137 FI 10.946944 43.76242
5937 5937 FI 11.03771 43.76616
2001 2001 FI 10.947416 43.72134
5973 5973 FI 10.97766 43.74277
6813 6813 FI 10.925358 43.7193
133 133 FI 11.049996 43.69654
6403 6403 FI 11.002222 43.72778
7861 7861 FI 10.95777 43.72128
10102 10102 LI 10.519378 43.31115
1853 1853 FI 10.946032 43.71945
692 692 PT 10.91604 43.93393
3237 3237 FI 11.211687 43.835644
6804 6804 FI 11.159975 43.646736
10080 10080 LI 10.504386 43.346447
3424 3424 FI 11.254828 43.774113
8732 8732 PI 10.291043 43.60025
8970 8970 PO 11.020448 43.788406
10635 10635 LI 10.502231 43.30551
6763 6763 FI 10.948777 43.71656
247 247 FI 10.931354 43.729195
9318 9318 PO 11.029017 43.788235
11324 11324 LI 10.54665 42.9284
10174 10174 LI 10.402124 42.756207
2176 2176 FI 11.019811 43.731842
7927 7927 FI 11.03721 43.67374
