"covidMeasure","latitude","longitude","name","province","selected","shared name"
"0","43.87709","10.567338","14077","LU","false","14077"
"0","43.85865","10.580514","15590","LU","false","15590"
"1","43.932934","10.916761","633","PT","false","633"
"0","43.350117","10.451842","10327","LI","false","10327"
"0","43.548203","10.302517","10380","LI","false","10380"
"0","42.763813","10.881378","8","GR","false","8"
"0","42.76337","10.881784","830","GR","false","830"
"0","42.76247","10.877059","13082","GR","false","13082"
"1","43.226585","10.562767","10579","LI","false","10579"
"0","43.23414","10.617684","10647","LI","false","10647"
"0","42.99409","11.460363","4081","SI","false","4081"
"0","43.27507","11.98559","12500","AR","false","12500"
"1","43.275883","11.985781","12516","AR","false","12516"
"0","42.761833","11.111967","13135","GR","false","13135"
"0","42.773228","10.899372","13744","GR","false","13744"
"1","42.762875","10.880899","99","GR","false","99"
"0","42.76524","10.880752","1095","GR","false","1095"
"0","43.407692","11.210691","3935","SI","false","3935"
"0","42.76422","10.881157","13296","GR","false","13296"
"0","42.7873","10.912335","13659","GR","false","13659"
"1","42.76284","10.880937","13700","GR","false","13700"
"0","42.76315","10.88114","9","GR","false","9"
"1","42.92161","10.75708","1677","GR","false","1677"
"0","43.771782","11.225194","866","FI","false","866"
"0","43.74898","11.1429","7077","FI","false","7077"
"0","43.77377","11.22093","7731","FI","false","7731"
"0","43.77516","11.21006","6666","FI","false","6666"
"0","43.759","11.198333","1386","FI","false","1386"
"0","43.468662","11.287727","5503","SI","false","5503"
"0","43.7665","11.247348","2100","FI","false","2100"
"0","43.77057","11.239936","6347","FI","false","6347"
"0","42.768772","10.858194","13364","GR","false","13364"
"0","43.85087","10.668278","15110","LU","false","15110"
"0","43.77303","11.22661","7609","FI","false","7609"
"0","42.77676","10.794318","12921","GR","false","12921"
"0","42.763344","10.873803","13833","GR","false","13833"
"0","43.982258","11.214638","3335","FI","false","3335"
"1","43.317444","11.336285","3684","SI","false","3684"
"0","43.2112","11.804606","5116","SI","false","5116"
"0","43.565407","11.530769","12434","AR","false","12434"
"0","43.69307","10.383304","9745","PI","false","9745"
"0","42.69799","11.003954","1530","GR","false","1530"
"0","42.759808","11.114414","13076","GR","false","13076"
"0","42.9081","10.851585","13054","GR","false","13054"
"0","42.897972","10.78235","13355","GR","false","13355"
"0","42.760273","11.115089","13206","GR","false","13206"
"0","42.393127","11.205004","672","GR","false","672"
"0","42.387802","11.207299","13159","GR","false","13159"
"0","42.99619","10.515998","10646","LI","false","10646"
"0","43.261898","11.971778","12159","AR","false","12159"
"0","43.696346","11.110789","5825","FI","false","5825"
"0","43.72512","10.92151","6152","FI","false","6152"
"0","42.75823","11.116731","13876","GR","false","13876"
"0","43.572647","10.333534","10833","LI","false","10833"
"0","44.118774","11.378966","6181","FI","false","6181"
"0","43.26974","11.76919","13794","AR","false","13794"
"0","43.767258","11.25417","2180","FI","false","2180"
"0","42.937492","10.719728","13658","GR","false","13658"
"0","43.29635693210426","10.615307","11164","PI","false","11164"
"0","43.82476","10.296131","14831","LU","false","14831"
"0","42.438534","11.21311","13673","GR","false","13673"
"0","42.766026","10.8822","1343","GR","false","1343"
"1","42.76406","10.880611","13656","GR","false","13656"
"0","42.845264","10.894152","13758","GR","false","13758"
"0","42.8324","10.7807","107","GR","false","107"
"0","42.812397","10.762656","1104","GR","false","1104"
"0","42.7617","10.881394","13080","GR","false","13080"
"0","42.76379","10.880551","13747","GR","false","13747"
"0","42.439087","11.212722","1211","GR","false","1211"
"0","42.762897","10.880958","473","GR","false","473"
"0","42.43762","11.209805","1093","GR","false","1093"
"0","42.764812","10.881352","13124","GR","false","13124"
"0","43.728268","11.537343","2577","FI","false","2577"
"0","42.76267","10.880705","13316","GR","false","13316"
"0","42.764908","10.881649","13306","GR","false","13306"
"1","43.79171","11.213465","2395","FI","false","2395"
"0","42.763588","10.881289","13005","GR","false","13005"
"0","42.766205","10.885208","13682","GR","false","13682"
"1","42.533356","11.184794","13711","GR","false","13711"
"0","43.218384","11.790002","3982","SI","false","3982"
"0","44.13358","10.411774","14750","LU","false","14750"
"0","43.713722","10.40232","8447","PI","false","8447"
"0","43.296097","10.499063","10023","LI","false","10023"
"0","43.32203","10.459721","9994","LI","false","9994"
"1","43.721684","10.397358","8814","PI","false","8814"
